,Order Id,Mode,Order Category,Market,Symbol,Inst Type,Expiry,Opt Type,Strike,Filled Qty,Filled Price,Status,Exch Order Id,Trade Id,Parent Cl Code,Child Cl Code,Part Code,Time,GTD Date,Product,
,190720000000376,Sell,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1127.80,FILLED,1700000000048171,93756974,N62861,N62861,,20Jul2019 11:56:22,,NRML,
,190720000000376,Sell,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1127.80,FILLED,1700000000048171,93756973,N62861,N62861,,20Jul2019 11:56:22,,NRML,
,190720000000376,Sell,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1127.80,FILLED,1700000000048171,93756972,N62861,N62861,,20Jul2019 11:56:22,,NRML,
,190720000000376,Sell,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1127.80,FILLED,1700000000048171,93756849,N62861,N62861,,20Jul2019 11:56:22,,NRML,
,190720000000374,Buy,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,5000,1360.40,FILLED,1700000000048100,93756789,N62861,N62861,,20Jul2019 11:53:33,,NRML,
,190720000000339,Sell,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1361.05,FILLED,1700000000046326,93756687,N62861,N62861,,20Jul2019 11:46:11,,NRML,
,190720000000327,Buy,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1380.00,FILLED,1700000000046027,93756586,N62861,N62861,,20Jul2019 11:43:41,,NRML,
,190720000000327,Buy,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1379.95,FILLED,1700000000046027,93756585,N62861,N62861,,20Jul2019 11:43:41,,NRML,
,190720000000327,Buy,Single,NSEFO,RELIANCE19AUGFUT,Future,29/08/2019,,,500,1379.95,FILLED,1700000000046027,93756584,N62861,N62861,,20Jul2019 11:43:41,,NRML,
,190720000000325,Sell,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,80,29951.55,FILLED,1400000000121297,50004554,N62861,N62861,,20Jul2019 11:43:04,,NRML,
,190720000000325,Sell,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,20,29805.70,FILLED,1400000000121297,50004548,N62861,N62861,,20Jul2019 11:43:04,,NRML,
,190720000000292,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,40,30001.00,FILLED,1400000000090257,50004377,N62861,N62861,,20Jul2019 11:37:57,,NRML,
,190720000000292,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,160,30001.00,FILLED,1400000000090257,50004354,N62861,N62861,,20Jul2019 11:37:57,,NRML,
,190720000000292,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,20,30001.00,FILLED,1400000000090257,50004002,N62861,N62861,,20Jul2019 11:35:27,,NRML,
,190720000000290,Sell,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,200,29500.00,FILLED,1400000000090223,50003639,N62861,N62861,,20Jul2019 11:31:51,,NRML,
,190720000000288,Sell,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,200,29002.00,FILLED,1400000000090125,50003638,N62861,N62861,,20Jul2019 11:31:15,,NRML,
,190720000000287,Sell,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,200,29001.00,FILLED,1400000000090042,50003628,N62861,N62861,,20Jul2019 11:30:51,,NRML,
,190720000000180,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,80,30005.00,FILLED,1400000000068577,50003605,N62861,N62861,,20Jul2019 11:04:56,,NRML,
,190720000000146,Buy,Single,NSECM,RELIANCE-EQ,Stock,,,,5,1220.00,FILLED,1300000000064162,75133445,N62861,N62861,,20Jul2019 11:27:48,,MARGIN,
,190720000000234,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,160,32000.00,FILLED,1400000000076562,50003378,N62861,N62861,,20Jul2019 11:17:42,,NRML,
,190720000000234,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,40,31040.00,FILLED,1400000000076562,50003377,N62861,N62861,,20Jul2019 11:17:42,,NRML,
,190720000000230,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12119.25,FILLED,1100000000027760,31264721,N62861,N62861,,20Jul2019 11:17:17,,MIS,
,190720000000230,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12119.25,FILLED,1100000000027760,31264720,N62861,N62861,,20Jul2019 11:17:17,,MIS,
,190720000000230,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12119.30,FILLED,1100000000027760,31264719,N62861,N62861,,20Jul2019 11:17:17,,MIS,
,190720000000230,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12119.30,FILLED,1100000000027760,31264718,N62861,N62861,,20Jul2019 11:17:17,,MIS,
,190720000000230,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,450,12119.35,FILLED,1100000000027760,31264717,N62861,N62861,,20Jul2019 11:17:17,,MIS,
,190720000000226,Buy,Single,NSECM,HDFC-EQ,Stock,,,,21,2500.00,FILLED,1100000000036645,25016818,N62861,N62861,,20Jul2019 11:16:04,,MIS,
,190720000000226,Buy,Single,NSECM,HDFC-EQ,Stock,,,,14,2499.95,FILLED,1100000000036645,25016817,N62861,N62861,,20Jul2019 11:16:04,,MIS,
,190720000000225,Buy,Single,NSECM,RELIANCE-EQ,Stock,,,,30,1280.90,FILLED,1300000000098677,75111595,N62861,N62861,,20Jul2019 11:16:04,,MIS,
,190720000000224,Sell,Single,NSECM,TCS-EQ,Stock,,,,20,2080.00,FILLED,1300000000098675,75111594,N62861,N62861,,20Jul2019 11:16:04,,MIS,
,190720000000224,Sell,Single,NSECM,TCS-EQ,Stock,,,,10,2081.00,FILLED,1300000000098675,75111593,N62861,N62861,,20Jul2019 11:16:04,,MIS,
,190720000000218,Buy,Single,NSECM,RELIANCE-EQ,Stock,,,,11,1305.80,FILLED,1300000000097072,75110007,N62861,N62861,,20Jul2019 11:15:10,,NRML,
,190720000000217,Buy,Single,NSECM,RELIANCE-EQ,Stock,,,,12,1328.80,FILLED,1300000000096879,75109811,N62861,N62861,,20Jul2019 11:15:02,,MARGIN,
,190720000000215,Buy,Single,NSECM,HDFC-EQ,Stock,,,,10,2533.90,FILLED,1100000000034936,25015816,N62861,N62861,,20Jul2019 11:14:53,,MARGIN,
,190720000000213,Buy,Single,NSECM,HDFC-EQ,Stock,,,,20,2533.90,FILLED,1100000000034778,25015815,N62861,N62861,,20Jul2019 11:14:44,,NRML,
,190720000000197,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,200,32000.00,FILLED,1400000000073421,50003369,N62861,N62861,,20Jul2019 11:11:28,,NRML,
,190720000000196,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,750,12005.00,FILLED,1100000000025873,31263735,N62861,N62861,,20Jul2019 11:11:24,,NRML,
,190720000000195,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,600,12390.00,FILLED,1100000000025865,31263733,N62861,N62861,,20Jul2019 11:11:22,,NRML,
,190720000000195,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12387.00,FILLED,1100000000025865,31263732,N62861,N62861,,20Jul2019 11:11:22,,NRML,
,190720000000195,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12384.00,FILLED,1100000000025865,31263731,N62861,N62861,,20Jul2019 11:11:22,,NRML,
,190720000000194,Buy,Single,NSEFO,TCS19AUG2300CE,Option,29/08/2019,Call,2300.00,250,10.00,FILLED,1200000000011315,37500660,N62861,N62861,,20Jul2019 11:11:17,,NRML,
,190720000000190,Buy,Single,NSECDS,USDINR19JUL67.5CE,Option,29/07/2019,Call,67.5000,2,1.2525,FILLED,1000000000034163,11653,N62861,N62861,,20Jul2019 11:08:04,,MIS,
,190720000000182,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,450,12390.00,FILLED,1100000000023860,31262641,N62861,N62861,,20Jul2019 11:05:32,,MIS,
,190720000000182,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,225,12390.00,FILLED,1100000000023860,31262640,N62861,N62861,,20Jul2019 11:05:32,,MIS,
,190720000000182,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,12307.90,FILLED,1100000000023860,31262639,N62861,N62861,,20Jul2019 11:05:32,,MIS,
,190720000000178,Sell,Single,NSECDS,USDINR19JUL67.5CE,Option,29/07/2019,Call,67.5000,2,1.2000,FILLED,1000000000026367,10891,N62861,N62861,,20Jul2019 11:04:12,,MIS,
,190720000000175,Sell,Single,NSECM,HDFC-EQ,Stock,,,,10,2175.00,FILLED,1100000000022229,25007990,N62861,N62861,,20Jul2019 11:03:01,,MARGIN,
,190720000000174,Sell,Single,NSECM,HDFC-EQ,Stock,,,,10,2150.05,FILLED,1100000000021690,25007725,N62861,N62861,,20Jul2019 11:02:25,,NRML,
,190720000000173,Sell,Single,NSECM,HDFC-EQ,Stock,,,,10,2165.05,FILLED,1100000000021570,25007668,N62861,N62861,,20Jul2019 11:02:16,,NRML,
,190720000000104,Buy,Single,NSECM,TCS-EQ,Stock,,,,10,2260.00,FILLED,1300000000049603,75086164,N62861,N62861,,20Jul2019 11:02:10,,MIS,
,190720000000101,Buy,Single,NSECM,TCS-EQ,Stock,,,,10,2284.00,FILLED,1300000000048418,75086147,N62861,N62861,,20Jul2019 11:02:10,,MIS,
,190720000000102,Buy,Single,NSECM,TCS-EQ,Stock,,,,9,2284.00,FILLED,1300000000049148,75086146,N62861,N62861,,20Jul2019 11:02:10,,MIS,
,190720000000102,Buy,Single,NSECM,TCS-EQ,Stock,,,,1,2280.95,FILLED,1300000000049148,75086145,N62861,N62861,,20Jul2019 11:02:10,,MIS,
,190720000000164,Sell,Single,NSECM,HDFC-EQ,Stock,,,,10,2165.00,FILLED,1100000000020792,25007577,N62861,N62861,,20Jul2019 11:01:22,,MIS,
,190720000000164,Sell,Single,NSECM,HDFC-EQ,Stock,,,,5,2165.00,FILLED,1100000000020792,25007549,N62861,N62861,,20Jul2019 11:01:22,,MIS,
,190720000000168,Sell,Single,NSECM,HDFC-EQ,Stock,,,,10,2150.05,FILLED,1100000000021169,25007513,N62861,N62861,,20Jul2019 11:01:46,,MIS,
,190720000000163,Sell,Single,NSECM,HDFC-EQ,Stock,,,,10,2150.00,FILLED,1100000000020600,25007317,N62861,N62861,,20Jul2019 11:00:55,,MIS,
,190720000000137,Buy,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1354.30,FILLED,1300000000062067,75074058,N62861,N62861,,20Jul2019 10:53:58,,MIS,
,190720000000130,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1337.40,FILLED,1300000000060162,75072146,N62861,N62861,,20Jul2019 10:52:39,,NRML,
,190720000000129,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1337.45,FILLED,1300000000060105,75072107,N62861,N62861,,20Jul2019 10:52:36,,MIS,
,190720000000126,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1336.55,FILLED,1300000000059750,75071773,N62861,N62861,,20Jul2019 10:52:16,,MARGIN,
,190720000000110,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1320.00,FILLED,1300000000050163,75069783,N62861,N62861,,20Jul2019 10:47:13,,MIS,
