*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
31May2019,18:14:17  --   CDS  ORDER:  2L ReportType:failure  Status:rejected   Rejection Reason:   ADAPTER is down   NESTOrderNo:190531000000105   IOC    for  C26969  by  C26969  ExchangeOrderNo: NA        FIRST  LEG  OF  2L  ORDER : BUY   Total QTY:1    Open QTY:1    Filled QTY:0    of   EURINR19JUNFUT    at   0.0000      ExchangeOrderNo: NA        SECOND  LEG  OF  2L  ORDER : SELL   Total QTY:1    Open QTY:1    Filled QTY:0    of   EURINR19JULFUT    at   0.0000    
31May2019,18:15:56  --   NFO  ORDER:  3L ReportType:reject  Status:rejected   Rejection Reason:   16273 : Record Does not exist   NESTOrderNo:190531000000109   IOC    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000029          FIRST  LEG  OF  3L  ORDER : BUY   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000029          SECOND  LEG  OF  3L  ORDER : SELL   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19JULFUT    at   0.00      ExchangeOrderNo: 1000000000000029          THIRD  LEG  OF  3L  ORDER : SELL   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19AUGFUT    at   0.00    
31May2019,18:17:21  --   NFO  ORDER:  2L ReportType:status  Status:open   NESTOrderNo:190531000000116   IOC    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000030          FIRST  LEG  OF  2L  ORDER : SELL   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000030          SECOND  LEG  OF  2L  ORDER : SELL   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19JULFUT    at   0.00    
31May2019,18:17:21  --   NFO  ORDER:  2L ReportType:exch cancel  Status:cancelled   Reason:   16388 : Order Cancelled By System   NESTOrderNo:190531000000116   IOC    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000030          FIRST  LEG  OF  2L  ORDER : SELL   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000030          SECOND  LEG  OF  2L  ORDER : SELL   Total QTY:20    Open QTY:20    Filled QTY:0    of   BANKNIFTY19JULFUT    at   0.00    
  -- 31May2019,18:46:17  --   NSE  LIMIT ORDER  status  Status:open   BUY   HDFC-EQ   Total QTY:5    Disc. QTY:0    Open QTY:5    Filled QTY:0    at 2140.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000153   RequestId:1        ExchangeOrderNo: 1100000000000054   
  -- 31May2019,18:47:31  --   NSE  SL ORDER  sl status  Status:trigger pending   BUY   BHEL-EQ   Total QTY:50    Disc. QTY:35    Open QTY:50    Filled QTY:0    at 70.00 Trigger Price   69.50    DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000155   RequestId:1        ExchangeOrderNo: 1000000000000012   
  -- 31May2019,18:47:31  --   NSE  LIMIT ORDER  trigger  Status:open   BUY   BHEL-EQ   Total QTY:50    Disc. QTY:35    Open QTY:50    Filled QTY:0    at 70.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000155   RequestId:1        ExchangeOrderNo: 1000000000000012   
  -- 31May2019,18:50:51  --   NSE  SL ORDER  sl status  Status:trigger pending   BUY   TCS-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at 2137.00 Trigger Price   2136.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000163   RequestId:1        ExchangeOrderNo: 1100000000000058   
  -- 31May2019,18:54:24  --   NSE  MARKET ORDER  status  Status:open   BUY   ACC-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000165   RequestId:1        ExchangeOrderNo: 1000000000000015   
  -- 31May2019,18:54:24  --   NSE  LIMIT ORDER  market response  Status:open   BUY   ACC-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 1635.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000165   RequestId:1        ExchangeOrderNo: 1000000000000015   
  -- 01Jun2019,09:42:54  --   NFO  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS:Margin Exceeds,Required:77991.00, Available:-6.00 for entity account-C26969 across exchange across segment across product    BUY   BANKNIFTY19JULFUT   Total QTY:20    Disc. QTY:0    Open QTY:20    Filled QTY:0    at 32500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000003   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,09:48:50  --   MCX  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS:Margin Exceeds,Required:1164.40, Available:0.00 for entity account-C26969 across exchange for  segment COM across product    BUY   ALUMINI19JUNFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 150.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000005   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,09:51:05  --   CDS  MARKET ORDER  failure  Status:rejected   Rejection Reason:   ADAPTER is down   SELL   EURINR19JUNFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.0000    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000010   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,10:00:29  --   MCX  LIMIT ORDER  status  Status:open   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 145.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000027   RequestId:1        ExchangeOrderNo: 241915200000007   
  -- 01Jun2019,10:00:29  --   MCX  LIMIT ORDER  fill  Status:complete   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 145.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000027   RequestId:1        ExchangeOrderNo: 241915200000007   
