,Order Id,Mode,Order Category,Market,Symbol,Inst Type,Expiry,Opt Type,Strike,Filled Qty,Filled Price,Status,Exch Order Id,Trade Id,Parent Cl Code,Child Cl Code,Part Code,Time,GTD Date,Product,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,92100,V69210,V69210,,03Aug2019 11:27:17,,MIS,
,190803000000383,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,11515.00,FILLED,1100000000131572,31272302,V69210,V69210,,03Aug2019 12:01:24,,MIS,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,88100,V69210,V69210,,03Aug2019 11:27:07,,MIS,
,190803000000343,Buy,Single,BSECM,ONGC,Common Stock,,,,2,137.00,FILLED,1564806686808037859,776000,V69210,V69210,,03Aug2019 11:50:38,,CNC,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,97100,V69210,V69210,,03Aug2019 11:27:33,,MIS,
,190803000000403,Sell,Single,NSEFO,AXISBANK19SEPFUT,Future,26/09/2019,,,1200,630.00,FILLED,1500000000047851,81253999,V69210,V69210,,03Aug2019 12:05:23,,NRML,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,86900,V69210,V69210,,03Aug2019 11:27:04,,MIS,
,190803000000119,Buy,Single,NCDEX,KAPAS29NOV2019,Future,29/11/2019,,,1,1142.00,FILLED,O0ewlsATBD4M,T9urExCZxJ,V69210,V69210,,03Aug2019 10:32:07,,NRML,
,190803000000383,Sell,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,11510.00,FILLED,1100000000131572,31272303,V69210,V69210,,03Aug2019 12:01:24,,MIS,
,190803000000028,Buy,Single,NSECDS,USDINR19SEPFUT,Future,26/09/2019,,,1,71.0000,FILLED,1000000000000057,20,V69210,V69210,,03Aug2019 10:03:25,,MARGIN,
,190803000000007,Buy,Single,NCDEX,COTTON18OCT2019,Future,18/10/2019,,,3,21000.00,FILLED,O0ewlsATB8xv,T9urExCZWG,V69210,V69210,,03Aug2019 09:51:23,,NRML,
,190803000000190,Buy,Single,NCDEX,KAPAS29NOV2019,Future,29/11/2019,,,1,1141.50,FILLED,O0ewlsATBRzC,T9urExCeRe,V69210,V69210,,03Aug2019 11:06:35,,MARGIN,
